DIM_GEO_NAME,DIM_GEO_CODE,region,sub-region,DIM_TIME_YEAR,AMR_INFECT_ECOLI,AMR_INFECT_MRSA,FINPROTECTION_CATA_TOT_10_POP,FINPROTECTION_CATA_TOT_25_POP,GHED_GGHE-DGGE_SHA2011,GLASSAMC_AWARE,HWF_0001,HWF_0006,HWF_0010,HWF_0014,MALARIA_EST_INCIDENCE,MCV2,MDG_0000000003,MDG_0000000007,MDG_0000000020,MDG_0000000025,MDG_0000000026,M_Est_tob_curr_std,NCDMORT3070,NCD_BMI_30A,NCD_BMI_PLUS2C,NCD_HYP_PREVALENCE_A,NUTOVERWEIGHTPREV,NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,NUTRITION_WH_2,NUTSTUNTINGPREV,PCV3,PHE_HHAIR_PROP_POP_CLEAN_FUELS,RS_198,SA_0000001688,SDGAIRBODA,SDGFPALL,SDGHEALTHFACILITIESESSENTIALMEDS,SDGHEPHBSAGPRV,SDGHIV,SDGHPVRECEIVED,SDGIHR2021,SDGIPV12M,SDGIPVLT,SDGNTDTREATMENT,SDGODA01,SDGODAWS,SDGPM25,SDGPOISON,SDGSUICIDE,SDGWSHBOD,SUD_TREATMENTSERVICES_COVERAGE,UHC_INDEX_REPORTED,VACCINEPREVENTABLE_WILDPOLIO,VIOLENCE_HOMICIDERATE,WHOSIS_000003,WHS4_100,WSH_DOMESTIC_WASTE_SAFELY_TREATED,WSH_HYGIENE_BASIC,WSH_SANITATION_SAFELY_MANAGED,WSH_WATER_SAFELY_MANAGED,Healthy life expectancy at birth
Afghanistan,AFG,Asia,Southern Asia,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42.0999984741,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.92499923706055
Afghanistan,AFG,Asia,Southern Asia,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.51999998093,-1.0,0.291999995708,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35.0,46.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.57500076293945
Afghanistan,AFG,Asia,Southern Asia,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.713999986649,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,34.4463386536,-1.0,-1.0,40.2000007629,-1.0,42.5999984741,-1.0,-1.0,-1.0,-1.0,-1.0,0.016179999337,265.664520264,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75.1871795654,-1.0,-1.0,16.6000003815,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.900001525878906
Afghanistan,AFG,Asia,Southern Asia,2021,-1.0,-1.0,-1.0,-1.0,4.05000019073,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,24.1000003815,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.50322437286,3.62615561485,-1.0,-1.0,40.8846092224,-1.0,8.37823009491,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.54999923706055
Afghanistan,AFG,Asia,Southern Asia,2022,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.06433963776,49.0,-1.0,57.6796798706,185.0,-1.0,-1.0,22.7000007629,-1.0,19.2225894928,8.46243000031,-1.0,3.70000004768,-1.0,3.6,33.0999984741,67.0,36.0999984741,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.029999999329,-1.0,-1.0,-1.0,-1.0,14367281.0,7.34000015259,67.9558029175,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35.4898109436,69.0,-1.0,48.2146987915,-1.0,30.0340995789,54.875
Afghanistan,AFG,Asia,Southern Asia,2023,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38.0666999817,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55.20000076293945
Albania,ALB,Europe,Southern Europe,2017,-1.0,-1.0,8.85000038147,1.40999996662,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.60000002384,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.05000305175781
Albania,ALB,Europe,Southern Europe,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.3339996338,10.8620004654,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.30000019073,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.07499694824219
Albania,ALB,Europe,Southern Europe,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.4035625458,-1.0,-1.0,41.7999992371,-1.0,24.7999992371,-1.0,-1.0,-1.0,-1.0,-1.0,5.10935020447,92.4828720093,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.5769805908,-1.0,-1.0,3.20000004768,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.0999984741211
Albania,ALB,Europe,Southern Europe,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.8260002136,58.3120002747,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.27645015717,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.289999991655,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.125
Albania,ALB,Europe,Southern Europe,2021,-1.0,-1.0,-1.0,-1.0,9.14000034332,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0399999767775,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.8000001907,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.214211568236,2.84951972961,-1.0,-1.0,63.768951416,-1.0,3.51188445091,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.1500015258789
Albania,ALB,Europe,Southern Europe,2022,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,93.0,-1.0,9.43802261353,15.0,100.0,-1.0,21.8999996185,-1.0,23.3601894379,7.52263021469,-1.0,13.3999996185,-1.0,-1.0,8.30000019073,87.0,84.5999984741,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.019999999553,15.0,-1.0,-1.0,-1.0,0.0,1.28999996185,30.3022003174,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.96381378174,97.0,19.4666595459,-1.0,56.3464889526,70.7360687256,69.17500305175781
